Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
118,SEA 19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
119,SEA 20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
120,SEA 21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
121,SEA 22,161.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
122,SEA 23,161.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
123,SEA 24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
124,SEA 25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
125,SEA 26,161.900000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
126,SEA 27,161.950000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
127,SEA 28,162.000000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
128,SEA 60,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
129,SEA 61,160.675000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
130,SEA 62,160.725000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
131,SEA 63,160.775000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
132,SEA 64,160.825000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
133,SEA 65,160.875000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
134,SEA 66,160.925000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
135,SEA 67,156.375000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
136,SEA 68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
137,SEA 69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
138,DSC 70,156.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
139,SEA 71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
140,SEA 72,156.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
141,SEA 73,156.675000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
142,SEA 74,156.725000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
143,SEA 77,156.875000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
144,SEA 78,161.525000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
145,SEA 79,161.575000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
146,SEA 80,161.625000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
147,SEA 81,161.675000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
148,SEA 82,161.725000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
149,SEA 83,161.775000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
150,SEA 84,161.825000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
151,SEA 85,161.875000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
152,SEA 86,161.925000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
153,AIS 87,161.975000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
154,AIS 88,162.025000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
155,SEA F1,155.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
156,SEA F2,155.775000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
157,SEA F3,155.825000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
158,SEA L1,155.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
159,SEA L2,155.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
